Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_2_29,VGND,li1,19.3200,16.3200,0.000028
FILLER_2_24,VGND,li1,17.4800,16.3200,0.000029
FILLER_2_6,VGND,li1,8.7400,16.3200,0.000031
FILLER_1_113,VGND,li1,58.1900,16.3200,0.000071
FILLER_1_110,VGND,li1,56.5800,16.3200,0.000071
FILLER_1_102,VGND,li1,54.2800,16.3200,0.000070
FILLER_1_85,VGND,li1,44.8500,16.3200,0.000058
FILLER_1_81,VGND,li1,43.7000,16.3200,0.000058
FILLER_1_69,VGND,li1,40.0200,16.3200,0.000054
FILLER_1_57,VGND,li1,34.5000,16.3200,0.000045
FILLER_1_53,VGND,li1,30.5900,16.3200,0.000039
FILLER_1_42,VGND,li1,25.5300,16.3200,0.000029
FILLER_1_3,VGND,li1,7.3600,16.3200,0.000031
FILLER_0_113,VGND,li1,59.3400,10.8800,0.000010
FILLER_0_109,VGND,li1,56.3500,10.8800,0.000010
FILLER_0_97,VGND,li1,52.9000,10.8800,0.000009
FILLER_0_85,VGND,li1,47.3800,10.8800,0.000008
FILLER_0_81,VGND,li1,43.4700,10.8800,0.000007
FILLER_0_69,VGND,li1,40.0200,10.8800,0.000006
FILLER_0_57,VGND,li1,34.5000,10.8800,0.000005
FILLER_0_55,VGND,li1,31.0500,10.8800,0.000004
FILLER_0_48,VGND,li1,28.5200,10.8800,0.000003
FILLER_0_41,VGND,li1,25.3000,10.8800,0.000003
FILLER_0_29,VGND,li1,21.6200,10.8800,0.000003
FILLER_0_27,VGND,li1,18.1700,10.8800,0.000003
FILLER_0_21,VGND,li1,15.8700,10.8800,0.000003
FILLER_0_15,VGND,li1,12.6500,10.8800,0.000003
FILLER_0_3,VGND,li1,9.6600,10.8800,0.000003
hold26,VGND,li1,19.7800,32.6400,0.000042
hold25,VGND,li1,13.3400,16.3200,0.000031
hold24,VGND,li1,28.9800,43.5200,0.000059
hold23,VGND,li1,40.4800,27.2000,0.000070
hold22,VGND,li1,29.4400,21.7600,0.000016
hold21,VGND,li1,23.4600,21.7600,0.000011
hold20,VGND,li1,20.7000,21.7600,0.000012
hold19,VGND,li1,28.9800,38.0800,0.000016
hold18,VGND,li1,41.4000,32.6400,0.000056
hold17,VGND,li1,48.7600,21.7600,0.000026
hold16,VGND,li1,32.6600,27.2000,0.000049
hold15,VGND,li1,46.9200,38.0800,0.000027
hold14,VGND,li1,52.9000,43.5200,0.000105
hold13,VGND,li1,64.4000,38.0800,0.000034
hold12,VGND,li1,62.5600,48.9600,0.000120
hold11,VGND,li1,64.8600,43.5200,0.000109
hold10,VGND,li1,60.7200,27.2000,0.000101
hold9,VGND,li1,64.8600,27.2000,0.000101
hold8,VGND,li1,9.2000,65.2800,0.000039
hold7,VGND,li1,25.3000,70.7200,0.000006
hold6,VGND,li1,16.5600,59.8400,0.000014
hold5,VGND,li1,16.5600,59.8400,0.000014
hold4,VGND,li1,19.7800,70.7200,0.000007
hold3,VGND,li1,11.5000,43.5200,0.000049
hold2,VGND,li1,12.8800,59.8400,0.000015
hold1,VGND,li1,11.5000,48.9600,0.000043
clkload2,VGND,li1,50.1400,48.9600,0.000114
clkload1,VGND,li1,20.7000,59.8400,0.000013
clkload0,VGND,li1,19.5500,38.0800,0.000017
clkbuf_2_3__f_clk,VGND,li1,53.3600,48.9600,0.000118
clkbuf_2_2__f_clk,VGND,li1,51.0600,27.2000,0.000097
clkbuf_2_1__f_clk,VGND,li1,23.9200,54.4000,0.000033
clkbuf_2_0__f_clk,VGND,li1,23.4600,32.6400,0.000042
clkbuf_0_clk,VGND,li1,38.1800,43.5200,0.000088
fanout46,VGND,li1,62.5600,32.6400,0.000070
fanout45,VGND,li1,43.2400,32.6400,0.000058
fanout44,VGND,li1,26.9100,59.8400,0.000012
fanout43,VGND,li1,42.5500,70.7200,0.000016
fanout42,VGND,li1,51.9800,65.2800,0.000070
fanout41,VGND,li1,26.6800,54.4000,0.000035
fanout40,VGND,li1,59.3400,70.7200,0.000020
fanout39,VGND,li1,60.7200,32.6400,0.000070
output38,VGND,li1,9.6600,38.0800,0.000017
output37,VGND,li1,65.7800,32.6400,0.000070
output36,VGND,li1,63.9400,21.7600,0.000029
